customer,location,unit,job_date,diagnosis,diagnosis_raw,invoice_subtotal,tax_rate,invoice_tax,invoice_total
Wynnefield Properties,Kirkwood Crossing,2248-2E,05/27/25 11:02 AM,CU - TXV - Replace,,"$1,158.50",6.75%,$78.20,"$1,236.70"
Wynnefield Properties,Kirkwood Crossing,2218-3B,05/27/25 11:02 AM,SYS - Ducts - Reset - Fire Damper,,$314.00,6.75%,$21.20,$335.20
Wynnefield Properties,Kirkwood Crossing,2248-2C,05/27/25 11:02 AM,SYS - LV - Repair - Thermostat,,$303.87,6.75%,$20.51,$324.38
Wynnefield Properties,Kirkwood Crossing,2208-1C,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$250.00,6.75%,$16.88,$266.88
Wynnefield Properties,Kirkwood Crossing,2218-1A,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$234.90,6.75%,$15.86,$250.76
Wynnefield Properties,Kirkwood Crossing,2218-2G,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$408.00,6.75%,$27.54,$435.54
Wynnefield Properties,Kirkwood Crossing,2218-3F,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$574.00,6.75%,$38.75,$612.75
Wynnefield Properties,Kirkwood Crossing,2218-3G,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$299.00,6.75%,$20.18,$319.18
Wynnefield Properties,Kirkwood Crossing,2218-3H,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$299.00,6.75%,$20.18,$319.18
Wynnefield Properties,Kirkwood Crossing,2238-1B,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2238-2A,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$453.76,6.75%,$30.63,$484.39
Wynnefield Properties,Kirkwood Crossing,2248-1G,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$289.60,6.75%,$19.55,$309.15
Wynnefield Properties,Kirkwood Crossing,2248-3G,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$192.50,6.75%,$12.99,$205.49
Wynnefield Properties,Kirkwood Crossing,2208 - 2A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2208 - 3C,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2208 - 3E,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2208 - 3H,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2208-1A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2208-2B,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2208-2F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$641.86,6.75%,$43.33,$685.19
Wynnefield Properties,Kirkwood Crossing,2208-3E,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$299.50,6.75%,$20.22,$319.72
Wynnefield Properties,Kirkwood Crossing,2208-3F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2218 - 1B,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 1C,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 1E,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 1F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 1H,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 2B,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 2E,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 2F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 3A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 3C,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218 - 3D,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2218-2A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2218-2F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2218-2F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$255.00,6.75%,$17.21,$272.21
Wynnefield Properties,Kirkwood Crossing,2238 - 1A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2238 - 3B,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2238 - 3C,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2238-1A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$0.00,6.75%,$0.00,$0.00
Wynnefield Properties,Kirkwood Crossing,2248 - 1A,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2248 - 1F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$584.00,6.75%,$39.42,$623.42
Wynnefield Properties,Kirkwood Crossing,2248 - 1G,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2248 - 2E,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kirkwood Crossing,2248 - 2H,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$385.00,6.75%,$25.99,$410.99
